"Study ID","Age [year(s)]","Body Weight [kg]","Predicted AUC [µg*h/l]","Observed AUC [µg*h/l]","Pred/Obs AUC Ratio"
"Davis 1987",1.29166666666667,8.90000001982489,7.46516133268674,13.81215,0.540477864248994
"Davis 1987",0.433333333333333,5.29999999730641,9.3490453072389,9.09091666666667,1.02839412680117
"Guay 1991",2.08333333333333,12.0999999659339,1.08594625209769,1.80633333333333,0.601188181637398
"Guay 1991",2.58333333333333,15.9999999896887,0.661908549790581,0.771666666666667,0.857764859339846
"Guay 1991",2.66666666666667,11.3000000366424,1.68387783249219,1.48666666666667,1.13265325055529
"Guay 1991",3.25,16.0000001548178,1.44671287367741,1.37666666666667,1.0508810220417
"Guay 1991",3.83333333333333,14.1999999876626,0.930454590121905,1.105,0.842040353051498
"Guay 1991",4.58333333333333,15.0000000191002,0.740895062685013,1.12166666666667,0.66053051650967
"Guay 1991",4.58333333333333,19.0000000683954,1.42346376980344,2.24786666666667,0.633250980101182
"Guay 1991",4.83333333333333,17.4999999059343,1.45733106379708,1.165,1.25092795175715
"Guay 1991",5.25,18.5000000021121,0.753938736965259,0.726666666666667,1.03753037197054
"Guay 1991",5.25,19.6500001316364,1.47257795179884,1.42166666666667,1.03581098602497
"Guay 1991",5.33333333333333,24.0000000158877,1.88546435097853,2.2583,0.834904286843437
"Guay 1991",5.33333333333333,23.9999999835925,1.05888235380252,1.25833333333333,0.84149591030664
"Guay 1991",5.75,14.4999999550973,1.25920649141073,2.53053333333333,0.497605178649059
"Guay 1991",5.91666666666667,28.2000001989733,1.5497231725355,2.1257,0.729041338164134
"Guay 1991",5.91666666666667,25.0000001462216,0.799554871916771,0.951666666666667,0.840162737565784
"Guay 1991",6.91666666666667,29.6000001722701,1.03769724458456,1.02833333333333,1.009105910455
"Guay 1991",7.5,23.4999999823919,0.448362249458829,0.583333333333333,0.768620999072279
"Guay 1991",7.5,15.1999998859152,1.21567969858646,1.22666666666667,0.991043232543313
"Guay 1991",8.75,22.600000058173,0.874415843834479,0.941666666666666,0.928583196992368
"den Hollander 1992",0.92,6.5000000539974,347.141576156616,351.666666666667,0.98713244404725
"den Hollander 1992",0.83,6.40000004062097,352.311425582886,233.333333333333,1.50990610964094
"den Hollander 1992",0.99,8.499999976988,376.37618170166,330,1.14053388394442
"den Hollander 1992",0.3,5.09999999628858,469.360911712646,308.333333333333,1.52225160555453
"den Hollander 1992",0.92,6.14900001401766,296.55557510376,265,1.11907764190098
"den Hollander 1992",1.3,10.4000000597027,353.856602119446,405,0.8737200052332
"den Hollander 1992",9,25.5999999788031,323.355989364624,188.333333333333,1.71693445680331
"den Hollander 1992",3.5,14.3999998378558,314.58749848938,310,1.01479838222381
"den Hollander 1992",5.5,19.4999998525129,315.140328964233,345,0.913450228881836
"den Hollander 1992",3.5,18.5000000163688,341.380683265686,378.333333333333,0.902327797178025
"Meistelman 1987",4.7,19.9999999781636,68.1878694133759,98.0392166666667,0.695516261061271
"Meistelman 1987",5.5,20.0000000226064,63.1888198699951,56.4971833333333,1.11844194952483
"Meistelman 1987",7.7,23.00000008216,62.8961184310913,40.16065,1.56611305920326
"Meistelman 1987",4.5,13.9999999621423,54.2056920862198,72.4637666666667,0.748038565750604
"Meistelman 1987",4.8,24.0000000937933,80.6065151252746,90.0900833333333,0.894732384995477
"Meistelman 1987",4.5,20.0000000151652,69.907348028183,69.44445,1.00666573107258
"Meistelman 1987",6.2,23.0000001091234,68.4647348384857,75.7575833333333,0.903734409494571
"Meistelman 1987",4.9,22.0000000168297,72.9859035358429,123.456783333333,0.591185851155549
